Zone nam,e: Zone 0,,,
,,,,
0,Class 0,104811068,0,26202767
1,Agricola permanente,0,0,0
2,Arido-Semiárido (mezquital),0,0,0
3,Asentamientos,0,0,0
4,Bosque Cultivado,0,0,0
5,Bosque de Coniferas Primario,0,0,0
6,Bosque de Encino Primario,0,0,0
7,Bosque de Encino Secundario,0,0,0
8,Bosque Mesofilo de Montana Primario,0,0,0
9,Manglar,0,0,0
10,Matorral desertico,0,0,0
11,Matorral Xerofilo Lenoso Secundario,0,0,0
12,Not Available,0,0,0
13,Otras tierras,0,0,0
14,Pastizal,0,0,0
15,Selva Baja Caducifolia Primaria,0,0,0
16,Selva Baja Caducifolia Secundaria,0,0,0
17,Selva Subcaducifolia Primario,0,0,0
18,Vegetacion Hidrofila Lenoso Primario,0,0,0
,,,,
,,,,
Zone nam,e: Zone 1,,,
,,,,
0,Class 0,0,0,0
1,Agricola permanente,7230388,98.43,1807597
2,Arido-Semiárido (mezquital),2626,0.04,656.5
3,Asentamientos,13800,0.19,3450
4,Bosque Cultivado,0,0,0
5,Bosque de Coniferas Primario,1260,0.02,315
6,Bosque de Encino Primario,0,0,0
7,Bosque de Encino Secundario,0,0,0
8,Bosque Mesofilo de Montana Primario,0,0,0
9,Manglar,97,0,24.25
10,Matorral desertico,2569,0.03,642.25
11,Matorral Xerofilo Lenoso Secundario,2453,0.03,613.25
12,Not Available,8841,0.12,2210.25
13,Otras tierras,3970,0.05,992.5
14,Pastizal,4188,0.06,1047
15,Selva Baja Caducifolia Primaria,5396,0.07,1349
16,Selva Baja Caducifolia Secundaria,69720,0.95,17430
17,Selva Subcaducifolia Primario,0,0,0
18,Vegetacion Hidrofila Lenoso Primario,52,0,13
,,,,
,,,,
Zone nam,e: Zone 2,,,
,,,,
0,Class 0,0,0,0
1,Agricola permanente,209814,2.79,52453.5
2,Arido-Semiárido (mezquital),7238726,96.17,1809681.5
3,Asentamientos,4375,0.06,1093.75
4,Bosque Cultivado,0,0,0
5,Bosque de Coniferas Primario,0,0,0
6,Bosque de Encino Primario,0,0,0
7,Bosque de Encino Secundario,0,0,0
8,Bosque Mesofilo de Montana Primario,0,0,0
9,Manglar,0,0,0
10,Matorral desertico,1357,0.02,339.25
11,Matorral Xerofilo Lenoso Secundario,3998,0.05,999.5
12,Not Available,1250,0.02,312.5
13,Otras tierras,551,0.01,137.75
14,Pastizal,66460,0.88,16615
15,Selva Baja Caducifolia Primaria,0,0,0
16,Selva Baja Caducifolia Secundaria,109,0,27.25
17,Selva Subcaducifolia Primario,0,0,0
18,Vegetacion Hidrofila Lenoso Primario,153,0,38.25
,,,,
,,,,
Zone nam,e: Zone 3,,,
,,,,
0,Class 0,0,0,0
1,Agricola permanente,597,0.21,149.25
2,Arido-Semiárido (mezquital),0,0,0
3,Asentamientos,279668,99.69,69917
4,Bosque Cultivado,0,0,0
5,Bosque de Coniferas Primario,0,0,0
6,Bosque de Encino Primario,0,0,0
7,Bosque de Encino Secundario,0,0,0
8,Bosque Mesofilo de Montana Primario,0,0,0
9,Manglar,0,0,0
10,Matorral desertico,5,0,1.25
11,Matorral Xerofilo Lenoso Secundario,0,0,0
12,Not Available,256,0.09,64
13,Otras tierras,0,0,0
14,Pastizal,0,0,0
15,Selva Baja Caducifolia Primaria,0,0,0
16,Selva Baja Caducifolia Secundaria,0,0,0
17,Selva Subcaducifolia Primario,0,0,0
18,Vegetacion Hidrofila Lenoso Primario,0,0,0
,,,,
,,,,
Zone nam,e: Zone 4,,,
,,,,
0,Class 0,0,0,0
1,Agricola permanente,0,0,0
2,Arido-Semiárido (mezquital),0,0,0
3,Asentamientos,0,0,0
4,Bosque Cultivado,1422,100,355.5
5,Bosque de Coniferas Primario,0,0,0
6,Bosque de Encino Primario,0,0,0
7,Bosque de Encino Secundario,0,0,0
8,Bosque Mesofilo de Montana Primario,0,0,0
9,Manglar,0,0,0
10,Matorral desertico,0,0,0
11,Matorral Xerofilo Lenoso Secundario,0,0,0
12,Not Available,0,0,0
13,Otras tierras,0,0,0
14,Pastizal,0,0,0
15,Selva Baja Caducifolia Primaria,0,0,0
16,Selva Baja Caducifolia Secundaria,0,0,0
17,Selva Subcaducifolia Primario,0,0,0
18,Vegetacion Hidrofila Lenoso Primario,0,0,0
,,,,
,,,,
Zone nam,e: Zone 5,,,
,,,,
0,Class 0,0,0,0
1,Agricola permanente,1518,0.21,379.5
2,Arido-Semiárido (mezquital),0,0,0
3,Asentamientos,0,0,0
4,Bosque Cultivado,0,0,0
5,Bosque de Coniferas Primario,735662,99.78,183915.5
6,Bosque de Encino Primario,0,0,0
7,Bosque de Encino Secundario,0,0,0
8,Bosque Mesofilo de Montana Primario,0,0,0
9,Manglar,0,0,0
10,Matorral desertico,0,0,0
11,Matorral Xerofilo Lenoso Secundario,0,0,0
12,Not Available,0,0,0
13,Otras tierras,0,0,0
14,Pastizal,116,0.02,29
15,Selva Baja Caducifolia Primaria,0,0,0
16,Selva Baja Caducifolia Secundaria,0,0,0
17,Selva Subcaducifolia Primario,0,0,0
18,Vegetacion Hidrofila Lenoso Primario,0,0,0
,,,,
,,,,
